XZangleToObj,YZangleToObj,DistToObjhorizontalPan,forwardPan,xRotInput,yRotInput,sprintButtonDown,fireButtonDown,jumpButtonDown
1.525339,4.846746,8.231175|-1,0,0,0,1,0,0
0.1341704,4.856397,8.242615|-1,-0.07187104,0,0,1,0,0
-2.575115,4.903847,8.322601|-1,-0.181938,0,0,1,0,0
-5.111056,4.983344,8.470673|-1,-0.322566,-0.4,1.1,1,0,0
-3.130754,6.703439,8.642289|-1,-0.4344059,-0.3,2,1,0,0
1.371735,8.069348,8.912574|-1,-0.574593,-0.15,1.7,1,0,0
5.914767,8.747835,9.097543|-1,-0.689349,0,0.2,1,0,0
4.648862,8.878121,9.320642|-1,-0.8265749,0.15,1.1,1,0,0
8.037952,8.304539,9.43302|-1,-0.9236789,0.1,0.8,1,0,0
8.314204,8.073775,9.779199|-1,-1,0.1,0.85,1,0,0
9.79882,7.760634,10.00431|-1,-1,0.05,0.4,1,0,0
9.53269,7.666619,10.23111|-1,-1,0.3,0.35,1,0,0
7.381716,6.688443,10.69978|-1,-1,0.75,1,1,0,0
8.788564,3.807452,11.04329|-1,-1,0.05,0.1,1,1,0
6.595317,3.746484,11.36417|-1,-0.8454581,0,0,1,0,0
5.735555,3.789306,11.46739|-1,-0.760093,0,0,1,0,0
3.996941,3.865334,11.65947|-1,-0.663415,0,0.4,1,0,0
1.906289,3.955819,11.91234|-1,-0.4074399,0,1.05,1,0,0
3.223855,3.936018,11.86352|-1,0,0,0,1,0,0
2.265377,3.930542,11.83689|-1,0.08583605,0,0,1,0,0
0.3609945,3.907306,11.75719|-1,0.1795321,0,0.2,1,0,0
-2.49881,3.801739,11.45648|-1,0.419049,-0.5,3.75,1,0,0
11.70493,5.677131,11.33432|-1,0.477909,0,0,1,0,0
10.17564,5.600177,11.06856|-1,0.593583,0,0,1,0,0
8.707187,5.507585,10.78289|-1,0.7299721,0,0.2,1,0,0
8.80221,5.446005,10.63241|-1,0.8285521,0.05,0.15,1,0,0
7.404885,5.057414,10.15406|-1,0.981093,0.05,0.65,1,0,0
8.775209,4.68588,9.816295|-0.893659,1,0.05,0.85,1,0,0
10.37297,4.077943,9.073408|-0.651217,1,0.05,0.65,1,0,0
11.78126,3.509448,8.501889|-0.481585,0.830368,0.05,1.5,1,0,0
17.27275,2.751148,7.906317|-0.291958,0.640741,0,0.95,1,0,0
21.11134,2.450244,7.706389|-0.192649,0.541432,0,0,1,0,0
18.28644,2.450244,7.571517|-0.092812,0,0,0,1,0,0
17.38211,2.782349,7.952303|0,-0.1043251,0,0,1,0,0
15.32619,3.042853,8.227563|-0.144864,-0.249189,0,0,1,0,0
13.23661,3.268723,8.486669|-0.254721,-0.359046,0,0,1,0,0
9.176203,3.65109,8.993471|-0.490956,-0.5952811,0,0,1,0,0
6.37163,3.900484,9.390571|-0.6583951,-0.7627201,-0.25,0.35,1,0,0
6.863157,4.963411,9.522924|-0.7434749,-0.8478,-0.5,0.55,1,0,0
7.249359,7.086594,9.781117|-0.8384669,-0.942792,-0.45,0.4,1,0,0
7.006475,9.002394,10.02315|-0.994539,-1,-0.05,0.1,1,0,0
5.638298,9.325167,10.27206|-1,-1,0,0,1,1,0
3.144729,9.502784,10.66269|-1,-1,0,0,1,0,0
1.115573,9.685172,11.12235|-0.7777631,-1,0,0,1,0,0
-0.6792617,9.856343,11.60537|-0.6048641,-0.8271011,0,0.1,1,0,0
-0.839068,9.911017,11.76954|-0.5451401,-0.767377,0,0,1,0,0
-2.784529,9.911017,11.78219|-0.4431911,0,0,0,1,0,0
-4.598831,9.852891,11.63186|-0.2989151,0.144276,0,0,1,0,0
-6.179712,9.661291,11.12045|-0.1459541,0.297237,0,0,1,0,0
-6.632322,9.507375,10.72987|-0.04249895,0.4006922,0,0.05,1,0,0
-5.779537,9.356896,10.34831|0,0.2493752,0.1,0.1,1,0,0
-4.555264,8.907216,10.21369|0.09436494,0.1550102,0,0,0,0,0
-2.312576,8.907216,10.18972|0.3307979,0,0,0,0,0,0
-1.750554,8.907216,10.18618|0.3914309,0,0,0,0,0,0
0.4996771,8.907216,10.18181|0.632856,0,0,0,0,0,0
1.059248,8.901634,10.17047|0.74169,0.108834,0.05,-0.9,0,0,0
-1.445233,8.679418,10.12177|0.835212,0.202356,0.1,-1.75,0,0,0
-6.480532,8.158391,9.91689|1,0.431556,0.05,-1.6,0,0,0
-66.8174,10.74825,25.70455|1,0.647649,0,-0.05,1,0,0
-67.39947,9.962374,25.12714|1,0.815499,0,0,1,0,0
-67.62756,8.720915,24.53339|1,0.624108,0,0,1,0,0
-67.69643,7.566623,23.93353|1,0.468858,0,0,1,0,0
-67.39645,7.460798,23.14308|1,0.241782,0,0,1,0,0
-67.28419,7.441522,22.94824|1,0.169347,0,-0.1,1,0,0
-67.36451,7.337807,22.56893|1,0.06935102,0.05,-0.4,1,0,0
-68.59388,6.760133,22.19605|1,0,0,-0.25,1,0,0
-69.22769,6.49833,21.8216|1,0,0,-0.05,1,0,0
-69.0522,6.443755,21.44757|1,0,0,0,1,0,0
-68.66341,6.443816,21.07449|1,0,0.2,0.95,1,0,0
-63.918,6.547901,20.58265|0.858808,-0.141192,-0.35,5.35,1,0,0
-42.01337,9.992965,20.49737|0.7655681,-0.2344319,-0.5,4.25,1,0,0
-23.92794,-12.54305,20.39762|0.6452621,-0.1141258,0,1.85,1,0,0
-14.35036,-12.6573,20.1846|0.9014083,0,0.55,2.55,1,0,0
-2.488135,-10.51236,20.04492|1,0.1788719,0.55,2.8,1,0,0
9.28129,-8.28207,20.02629|0.938812,0.2400599,-0.05,1.45,1,0,0
16.21865,-8.411905,19.97789|0.8323959,0.346476,-0.1,2.35,1,0,0
26.75584,-8.624912,19.92103|0.7001829,0.478689,0.1,0.4,1,0,0
29.46097,-8.143915,19.80607|0.5831529,0.595719,0,0,1,0,0
30.99917,-8.062754,19.52084|0.4467189,0.7321529,0,0,1,0,0
31.9369,-8.000375,19.27753|0.327832,0.8510399,0,0,1,0,0
32.7622,-7.931696,18.9876|0.1948239,0.9840479,0,-0.15,1,0,0
32.89259,-7.878334,18.66759|0.07594895,1,-0.05,-1.6,1,0,0
27.05092,-8.191415,18.31047|0,1,-0.25,-3.1,1,0,0
14.97434,-9.354691,17.92376|0,1,-0.1,-1.25,1,0,0
10.2008,-9.745117,17.52995|0,1,0,-0.8,1,0,0
7.334598,-9.640799,16.73619|0,1,0.05,-2.6,1,0,0
-3.058639,-9.426294,16.5362|0.06327903,1,0,-0.6,1,0,0
-5.353573,-9.349458,16.13733|0.1709731,1,0,-0.7,1,0,0
-7.948212,-9.26251,15.74143|0.2916992,1,0,-0.1,1,0,0
-7.975628,-9.188359,15.35441|0.4204141,1,0,0,1,0,0
-7.454563,-9.116821,14.97894|0.5291702,1,0,0,1,0,0
-6.753689,-9.046547,14.62225|0.6749221,1,0,0,1,0,0
-5.92192,-8.976712,14.28168|0.7805071,1,0,0,1,0,0
-4.936339,-8.908871,13.96388|0.926811,1,0,0,1,0,0
-3.856458,-8.840735,13.66018|1,1,0,0,1,0,0
-2.727854,-8.769701,13.36154|1,1,0,0,1,0,0
-1.548007,-8.695607,13.06833|1,1,0,0,1,0,0
0.3220336,-8.578285,12.6395|1,1,0,0,1,0,0
1.641156,-8.495626,12.36153|1,1,0,0,1,0,0
4.460234,-8.31843,11.82659|1,1,0,0,1,1,0
6.74346,-8.174019,11.44569|1,1,0,0,1,0,0
7.559306,-8.125283,11.32861|1,0.931879,0,0,1,0,0
10.5398,-7.879978,10.77196|0,0.69112,0,0,1,0,0
11.71163,-7.723495,10.43584|-0.1519291,0.5391909,0,0,1,0,0
12.15265,-7.636302,10.25237|-0.210192,0.480928,0,0,1,0,0
10.85232,-7.291134,9.484307|-0.4403041,0.2508159,0,0,1,0,0
7.518361,-7.204703,9.232094|-0.6072961,0.08382392,-0.35,1.15,1,0,0
10.89939,-8.535134,9.192187|-0.702975,0,-0.15,0.6,1,0,0
10.85001,-9.08971,9.108492|-0.8002501,0,-0.15,0.6,1,0,0
10.77749,-9.64402,9.025217|-0.922866,0,-0.15,1.25,1,0,0
13.30554,-10.13727,8.924758|-1,0,-0.05,1.2,1,0,0
15.63179,-10.21248,8.80866|-1,0,0,0.4,1,0,0
10.82982,-10.16823,8.565838|-1,0,-0.05,0.05,1,1,0
7.043613,-10.36456,8.471542|-1,0,0,0,1,0,0
3.013309,-10.4313,8.524584|-1,-0.178077,0,0,1,0,0
-0.7808449,-10.55202,8.710511|-1,-0.347409,0.05,0.1,1,0,0
-1.580782,-10.39803,8.790508|-1,-0.4161841,0.15,0.6,1,0,0
-1.453873,-9.907267,8.979592|-1,-0.52917,0.25,0.95,1,0,0
0.2093567,-9.026259,9.192655|-1,-0.6608221,0.15,0.7,1,0,0
1.017411,-8.548838,9.427415|-1,-0.7797539,0.1,0.6,1,0,0
1.565606,-8.274528,9.681671|-1,-0.8989111,0.05,1.05,1,0,0
3.979215,-8.187266,9.9395|-1,-1,0.15,1.15,1,0,0
6.767701,-7.676085,10.18207|-1,-1,0.15,1.3,1,0,0
10.12092,-7.134352,10.40552|-1,-1,0.15,0.8,1,0,0
10.59411,-6.663503,10.73277|-1,-1,0.05,0.1,1,0,0
10.11822,-6.515086,10.84589|-1,-1,0,0,1,0,0
6.008706,-6.780324,11.44721|-1,-1,0,0,1,0,0
3.750297,-6.924329,11.83393|-1,-1,0,0,1,1,0
3.030347,-6.970041,11.96674|-1,-1,0,0.6,1,0,0
2.600454,-7.131794,12.49158|-1,-1,0.15,4.15,1,0,0
16.66078,-6.441229,12.71081|-1,-0.82012,0.3,0.85,1,0,0
