XZangleToObj,YZangleToObj,DistToObjhorizontalPan,forwardPan,xRotInput,yRotInput,sprintButtonDown,fireButtonDown
-14.93862,-7.220479,5.47838|0,-0.7693629,0,0,0,0
-14.41735,-5.705438,5.67169|0,-0.673867,0,0,0,0
-13.93052,-3.699888,5.865449|0,-0.578044,0,0,0,0
-13.25831,-4.110517,6.156802|0,-0.375217,0,0,0,0
-13.04805,-4.834605,6.254111|0,-0.293026,0,0,0,0
-12.84426,-5.380191,6.351505|0,-0.2296719,0,0,0,0
-12.84426,-5.670187,6.351505|0,0,0,0,0,0
-12.84426,-5.670187,6.351505|0,0,0,0,0,0
-12.84426,-5.670187,6.351505|0,0,0,0,0,0
8.955743,-6.531889,6.351505|0,0,0.25,5.45,0,0
10.95574,-6.986598,6.351505|0,0,0.1,0.5,0,0
10.95574,-6.986598,6.351505|0,0,0,0,0,0
10.95574,-6.986598,6.351505|0,0,0,0,0,0
10.95574,-6.986598,6.351505|0,0,0,0,0,0
10.95574,-6.986598,6.351505|0,0,0,0,0,0
9.355741,-5.941913,6.351505|0,0,-0.25,-0.4,0,0
6.955759,-5.088851,6.351505|0,0,-0.2,-0.6,0,0
0.9557254,-2.827709,6.351505|0,0,-0.55,-1.5,0,0
-2.644269,-1.638889,6.351505|0,0,-0.3,-0.9,0,0
-3.044333,-1.442387,6.351505|0,0,-0.05,-0.1,0,0
-3.044333,-1.442387,6.351505|0,0,0,0,0,0
-6.248899,-3.977443,5.952387|0,0.2121629,0,-0.75,0,0
-6.755518,-4.873872,5.853066|0,0.308736,0,-0.1,0,0
-6.994118,-5.263284,5.654663|0,0.207258,0,0,0,1
-13.98528,1.8312,12.15831|0,0.1133521,0,0,0,0
-14.21679,2.571387,11.96437|0,0.01730704,0,0,0,0
-14.21679,2.728428,11.96437|0,0,0,0,0,0
-14.21679,2.728428,11.96437|0,0,0,0,0,0
-14.45594,2.812786,11.77064|0,0.1101869,0,0,0,0
-14.57848,3.176012,11.67385|0,0.168228,0,0,0,0
-14.70305,3.62142,11.57711|0,0.266784,0,0,0,0
-14.95861,4.121271,11.38381|0,0.3614309,0,0,0,0
-15.49664,2.414435,10.99794|0,0.1325099,0,0,0,0
-15.63708,2.194905,10.90162|0,0.0646019,0,0,0,0
-15.78002,1.948529,10.80538|0,0.001907766,0,0,0,0
-15.78002,2.148036,10.80538|0,0,0,0,0,0
-15.78002,2.148036,10.80538|0,0,0,0,0,0
-14.58003,1.579543,10.80538|0,0,0.15,0.3,0,0
-6.933897,-9.853411,10.41884|0,0.2285489,2.4,2.05,0,0
-6.800975,-10.12689,10.3196|0,0.292293,0.1,0.05,0,0
-6.867357,-9.748082,10.22034|0,0.357612,0,0,0,0
-6.935057,-9.278982,10.12109|0,0.439299,0,0,0,0
-7.074543,-8.772679,9.922634|0,0.5366099,0,0,0,0
-7.037623,-7.776323,9.769339|0,0.72549,0,0,0,0
-6.735224,-8.049984,9.539819|0,0.9295739,0.25,0.1,0,0
-6.806395,-8.301109,9.440546|0,0.988779,0,0,0,0
-6.953389,-9.499247,9.242045|0,1,0,0,0,0
-7.106829,-10.34952,9.043612|0,1,0,0,0,0
-7.267172,-11.22725,8.845249|0,1,0,0,0,0
-7.436272,-12.83015,8.581161|0,1,0,0,0,0
-7.613293,-12.38558,8.382936|0,1,0,0,0,0
-7.703904,-11.8463,8.283962|0,1,0,0,0,0
-6.893981,-10.72279,8.085891|0,1,-0.1,0.25,0,0
-7.068412,-10.19208,7.887455|0,1,0,0,0,0
-7.159002,-9.57713,7.788267|0,1,0,0,0,0
-7.545587,-9.658971,7.391737|0,1,0,0,0,0
-7.648808,-10.49574,7.292663|0,1,0,0,0,0
-7.754891,-11.27002,7.193615|0,1,0,0,0,0
-7.976022,-12.05082,6.9956|0,1,0,0,0,0
-8.091361,-12.78157,6.896636|0,1,0,0,0,0
-8.332275,-14.5539,6.6988|0,1,0,0,0,0
-8.721591,-14.61436,6.402297|0,1,0,0,0,0
-8.859492,-13.95335,6.303536|0,1,0,0,0,0
-9.14875,-13.1132,6.106136|0,1,0,0,0,1
92.79117,-105.4229,3.790235|0,1,0,0,0,0
94.30154,-113.913,3.796404|0,1,0,0,0,0
97.30211,-130.4827,3.816591|0,1,0,0,0,0
101.9243,-135.2748,3.866121|0,0.778576,-0.1,0.05,0,0
